date,fees_block_mean,fees_block_mean_usd,fees_total,fees_total_usd,fees_reward_percent,addresses_count_active,addresses_count_sender,addresses_count_receiver,open,high,low,close,volume,transactions_count_total,transactions_count_mean
2023-09-18,0.0716667880999795,117.22473285579828,2202.605448275787,3602782.294368353,1.0,287003,211809,169101,1621.65757437,1669.51327223,1603.95858823,1635.69117528,479252.09611517447,979571,137.73495501
2023-09-17,0.0459163568627145,74.51389312167932,1283.6195724522331,2083081.023099852,1.0,269557,207513,155010,1634.60277751,1636.15828849,1610.70937528,1622.81805903,195694.09005049444,879624,124.8933693
2023-09-16,0.0547768893194917,89.54259297870962,1488.003196930179,2432406.5544613893,1.0,278774,213898,160105,1641.33060458,1652.91667447,1630.0345542,1634.67831217,162563.63813614988,922374,130.27881356
2023-09-15,0.0696047130813708,114.20966379556012,2261.108310890621,3710099.626303623,1.0,291073,218914,171002,1626.77089797,1654.20510481,1610.82736962,1640.83233361,310735.4950410054,1002709,141.40586659
2023-09-14,0.0720075291334705,117.12087920922426,2462.7019387524047,4005606.3548898106,1.0,353308,274484,184240,1607.8573574,1644.55761018,1605.70028833,1626.50879177,456497.9759071476,1071590,150.50421348
2023-09-13,0.0615725524395975,99.00011031292438,2432.136647475915,3910537.842855025,1.0,1009297,935870,159717,1593.43600557,1618.9527653,1581.24640257,1607.8610743,385859.1776487573,1627860,228.27934371
2023-09-12,0.0659872406373177,105.11386001934738,2112.944582708916,3365798.583944716,1.0,415435,338809,170712,1551.76761815,1628.07049683,1549.24815925,1592.94219616,571248.7079336848,1092958,153.20409308
2023-09-11,0.0807497165038662,125.27187437499832,2842.160269560287,4409213.550922135,1.0,340231,259243,172727,1618.14503838,1620.03746694,1530.62792781,1551.35992792,736477.9623253664,1021616,143.02337953
2023-09-10,0.0504438620647259,81.54995339890975,1387.5517170766968,2243182.286895276,1.0,256741,191291,158325,1636.26381842,1636.37709054,1595.62615689,1616.64769629,335240.89288838115,866548,121.3992715
2023-09-09,0.0603124719903072,98.62769950363102,1550.3491555152082,2535252.91850806,1.0,271641,195273,170948,1637.04460347,1638.46885413,1629.52053945,1635.27867867,90214.0645811474,929400,130.22278268
2023-09-08,0.0882541033148606,144.41833731242994,2322.2764212465004,3800155.312209794,1.0,298559,221592,180928,1647.317466,1658.98586753,1615.74123027,1636.39232498,372668.083636564,1014297,142.07830228
2023-09-07,0.0695622824457195,114.5957364446045,2503.107630204721,4123577.493410291,1.0,294167,217196,175561,1632.09617208,1660.74137373,1622.52504672,1647.38321423,387048.3721100646,1017089,142.21043065
2023-09-06,0.074456005471896,121.543771405952,2582.7347702708776,4216118.263804753,1.0,295470,214006,178598,1633.60962665,1671.36624769,1608.82704907,1632.42401517,397587.0098288533,1058940,148.45646993
2023-09-05,0.0701652757017096,114.66088506908922,2358.177183849608,3853625.320299855,1.0,284220,201755,175454,1630.60728618,1649.32092111,1609.41558804,1634.1542725,330100.0296833538,994049,139.20305279
2023-09-04,0.0598842900690641,97.66630743775502,2129.227422255514,3472593.225820563,1.0,264353,186625,168283,1635.58203979,1644.44383248,1616.52372993,1630.91701221,268248.1184937624,952440,132.98519966
2023-09-03,0.0496993566992642,81.33755871537991,1639.6726305486598,2683474.751358852,1.0,392309,320210,162523,1637.05960597,1647.35652707,1624.32527318,1636.59178141,193631.83345026989,1038128,145.2943317
2023-09-02,0.0469401772641388,76.8230782287829,1626.8082546872215,2662461.5648510824,1.0,370779,292732,169391,1629.18708344,1645.43958021,1627.63241662,1636.61670463,166100.09783762542,1024172,143.76361595
2023-09-01,0.0583627409611706,95.06949641931284,2328.4827723193184,3792962.4438427472,1.0,309285,230872,178918,1645.60756705,1654.64539782,1601.6360075,1628.94159619,506785.1466466651,1006635,140.9458135
2023-08-31,0.0644330769292912,106.0158350501146,2816.222874737369,4633710.416781127,1.0,294526,214257,183605,1705.31375526,1728.62512654,1629.44997296,1645.36353225,607412.1493830486,1010128,141.35572348
2023-08-30,0.0713557416877921,121.67162144398628,2963.0633551815467,5052441.672368973,1.0,303856,213911,189797,1729.15683033,1731.62228276,1695.1281563,1705.14129019,335814.4555552271,1027316,143.92210703
2023-08-29,0.1111781816080959,192.1933034719896,4190.802614465769,7244624.682857508,1.0,286221,203087,178801,1653.81912067,1747.2037785,1638.54282812,1728.69623061,848729.708077995,1019692,143.01430575
2023-08-28,0.0995318448345889,164.42959627162364,3519.9455731933385,5815055.778983543,1.0,257703,181123,164802,1658.17397408,1664.77883484,1620.33497519,1652.03002662,353264.60625909735,995843,139.33720442
2023-08-27,0.0502984432442185,83.37176360299351,1719.821006621096,2850674.914674567,1.0,280358,216591,153974,1647.79540111,1661.24235629,1645.55633595,1657.54163003,131565.107328347,907110,127.01064128
2023-08-26,0.0556841256905346,91.67364232932434,1783.772920011719,2936653.1060338668,1.0,311969,232507,176780,1654.16454426,1657.27169828,1643.26845794,1646.31555569,117819.76589465787,990794,138.66955913
2023-08-25,0.0945107370257792,156.43407728296285,3083.290342853229,5103459.087914548,1.0,274491,190567,177713,1662.29574356,1678.40452775,1634.90620197,1655.19899861,404401.8099168484,1025742,143.56081176
2023-08-24,0.0695824030732776,115.65258932679808,2638.8760518978397,4386063.643031455,1.0,276947,198711,171443,1680.2817408,1683.83708236,1633.39459412,1662.09536059,384580.7793545664,1055235,147.68859342
2023-08-23,0.0742188093723307,124.62786451042489,2948.509278711474,4951122.471549353,1.0,283393,203202,176165,1635.49903253,1702.21197284,1628.94356175,1679.19514695,631020.3960876666,1045220,146.02123498
2023-08-22,0.0815098688907246,133.20439398529118,3937.612465678791,6434892.969130483,1.0,282993,195404,184086,1667.25815029,1669.77755367,1578.78766575,1634.21185432,653016.6983580823,1040834,145.48979592
2023-08-21,0.0797311846076069,132.954640917119,2997.230367541556,4997990.299824957,1.0,282657,199712,174767,1684.86525942,1688.82079227,1648.7653273,1667.53625412,401420.5742205411,1010718,141.47788354
2023-08-20,0.0628113373290234,105.85454611594623,2047.6283032763847,3450822.3176667206,1.0,276712,211819,155232,1669.36627189,1743.1583791,1654.11569069,1685.27770013,297225.0617995842,943440,132.09745169
2023-08-19,0.0622082796567477,103.88261404385096,1996.2387220854037,3333551.383353425,1.0,320469,247741,166916,1661.22469583,1697.10570089,1650.4249145,1669.91620114,407617.5708476918,1041484,145.8048439
2023-08-18,0.0852574015188946,141.72952859945312,3269.3852155571813,5434934.881380941,1.0,322167,234306,180418,1681.27740753,1700.08238758,1641.29848882,1662.37213514,891628.3996063373,1081417,151.43775382
2023-08-17,0.1003126610713403,168.68837283758768,4814.385487143989,8095995.514082167,1.0,295477,201930,188949,1805.69340143,1811.71580033,1505.63493371,1681.6259387,1446223.0060015426,1065879,149.28277311
2023-08-16,0.0975012527065982,176.37423206483382,3907.857732702125,7069092.8320484655,1.0,295662,213114,176016,1830.26395019,1833.35517799,1796.24409845,1808.94324092,356529.88777876616,1076026,150.45106264
2023-08-15,0.0825938539798962,150.90464664060198,3335.8626273875866,6094850.243337031,1.0,310970,226768,178577,1845.71001578,1854.97106307,1813.06509285,1827.06871479,299065.6835630193,1056395,147.74755245
2023-08-14,0.0752856995417366,138.8275245189934,2785.3867718042898,5136278.904377705,1.0,295788,214842,171901,1841.35073416,1858.45479222,1832.23061134,1844.00922571,247035.66599125628,1009971,141.21518456
2023-08-13,0.0608504271496995,111.91922928947398,1948.128612273522,3583098.1482847617,1.0,269443,203642,155487,1849.95541127,1862.27972819,1834.31081859,1839.25133367,183109.7521561235,920802,128.65753807
2023-08-12,0.0633772263095574,116.94400723610757,1975.778617543256,3645717.592915255,1.0,277327,209596,162676,1849.39434066,1855.3397987,1842.40724651,1845.20551065,105286.06792692193,972839,136.13755947
2023-08-11,0.0699359099203298,129.15006030245922,2498.451834850396,4613870.120533301,1.0,295175,215778,179965,1850.47033907,1865.75172127,1837.01223639,1846.69164167,205505.9552597964,1050203,146.9226357
2023-08-10,0.0806606612244331,149.4258926882597,2954.9597901043503,5474136.931083137,1.0,293851,207341,182780,1854.88287502,1867.44498205,1824.42490271,1852.52501554,211217.49003125823,1037733,145.21872376
2023-08-09,0.0731307097479897,135.69646215351767,2868.9588262944108,5323448.440933,1.0,339931,251691,185143,1855.60501437,1875.74316822,1835.02517997,1855.53323113,320110.771173814,1076595,150.65701092
2023-08-08,0.0872549496698692,162.01403956491478,3183.3151084619576,5910744.798790961,1.0,293687,206046,179961,1826.97879938,1877.60607143,1784.30184977,1856.78910111,417389.0413431428,1098689,153.81338373
2023-08-07,0.0854740966896046,156.4380168412889,3092.7375482397592,5660448.573258341,1.0,282689,200155,175539,1827.11640986,1863.36314081,1790.99019909,1830.23890161,407978.5544589048,1047336,146.64463736
2023-08-06,0.064131349966614,117.42812662552224,2002.5302616533495,3666746.096242909,1.0,270733,200497,161862,1837.00767335,1872.53803222,1780.16052628,1831.05652207,144330.0880254021,987506,138.34491454
2023-08-05,0.0734217001384068,134.8930242644455,2242.710608305372,4120389.693155776,1.0,284041,212792,165062,1830.44603208,1855.15555785,1805.46305956,1837.23645748,145875.99153221736,1124372,157.14493361
2023-08-04,0.0695558204358936,127.39844910437915,2562.33783462272,4693178.287117903,1.0,326349,248347,174144,1835.13003226,1878.27836558,1776.94645233,1831.60012068,329252.36951198487,1075359,150.35780201
2023-08-03,0.0803056800485131,147.30265752527035,2957.94369483269,5425680.559528985,1.0,310478,232834,173910,1836.02282748,1876.71384924,1796.42270564,1834.27445526,306427.4802215529,1049539,146.89139258
2023-08-02,0.0942083807338754,173.43343597699547,3218.300755065324,5924748.452423346,1.0,297008,218354,173428,1874.51817037,1884.96658887,1811.71216653,1840.95549277,454594.2375176651,1042149,145.53121072
2023-08-01,0.0793636599593194,149.0122922194878,3004.989318069114,5642133.271198419,1.0,283863,201032,176667,1856.24340201,1882.23898822,1776.45045819,1877.58846172,654157.9709222789,1068108,149.15626309
2023-07-31,0.0685358725608067,127.2825283700075,3021.404737394805,5611251.74066366,1.0,332844,246310,193317,1861.87528452,1884.27255843,1836.93305,1857.16652629,298464.7508738197,1048101,146.40326861
2023-07-30,0.089569843155986,166.7712145290774,2728.940579998432,5081048.6975114,1.0,304170,235014,178160,1880.48380562,1966.57745724,1820.65579166,1861.91254392,256379.3714672538,981157,137.3400056
2023-07-29,0.0791923819078197,149.25004585481605,2842.3789491121365,5356893.911658702,1.0,284662,210923,170259,1874.50056473,1934.66317122,1849.88229803,1884.65155687,117219.44856100388,991161,138.64330676
2023-07-28,0.119121548672653,223.6664823516377,4772.719237072192,8961412.396857098,1.0,282402,200895,175298,1862.67896162,1896.38110839,1834.81743397,1877.6324254,236456.78301204485,1014601,142.02141657
2023-07-27,0.1180801184815202,218.7416907492112,4102.781970684386,7600343.534405716,1.0,274167,195096,169200,1861.97444146,1904.25521364,1831.46401476,1852.48535962,287568.40230285213,998420,139.71732438
2023-07-26,0.1023495677734954,191.81119807580933,3519.819523301009,6596420.62455124,1.0,280296,199923,169210,1875.58168382,1917.46169593,1836.06442554,1874.07921937,428938.1171303413,1029348,143.90437579
2023-07-25,0.1229204197378124,228.3381189728643,3982.9124139678033,7398695.274380974,1.0,267694,187642,166586,1853.75942893,1881.28282282,1820.63996734,1857.60933342,246703.28212621712,990249,138.69033613
